GEOID20,route
060372628021001,602  
060376702012002,232  
060374324021013,268  
060373111003002,154  
060374341003000,176  
060372971101010,246  
060372146003003,14  
060371956002006,2  
060377031002006,607  
060372737002002,33  
060379800161122,254  
060375440011000,202  
060376514023011,232  
060372246002005,35  
060376703262027,344  
060371891012002,180  
060372361011003,210  
060372047003016,66  
060374084023018,577  
060372678001002,806 
060372693005002,806 
060378004111015,534  
060377021022009,733  
060375517001011,117  
060375535021001,125  
060371032021031,90  
060373008003004,90  
060379800021012,202  
060375539021000,128  
060375305003004,106  
060372756042000,110  
060373102012015,183  
060373113001008,154  
060377017013002,4  
060372110001004,14  
060377026005002,110  
060375353001019,612  
060375336021006,110  
060377007003044,20  
060377013021006,20  
060375354002017,612  
060375354002025,612  
060375715024006,60  
060372316011004,40  
060375323033056,62  
060379800161131,611  
060372374013003,206  
060375416032006,125  
060375412003002,125  
060375413003020,205  
060376030082005,125  
060375437011006,246  
060376213012011,232  
060379800341056,460  
060372965003007,550  
060375731022000,60  
060375436032006,205  
060372933041003,232  
060375758022001,232  
060375330011018,55  
060375433051069,202  
060375708005011,265  
060374636023003,256  
060374625003025,687  
060373008005004,685  
060372701012003,733  
060376503005006,40  
060374316001011,78  
060371375023000,150  
060372739022004,108  
060375551051013,62  
060375532023006,125  
060376203031010,232  
060376512223003,344  
060375722021002,801 
060374819022015,258  
060372086102002,16  
060375301021002,18  
060372227001011,754  
060372754001000,733  
060376027001026,209  
060372037202004,68  
060379800161093,611  
060376511012019,232  
060375732012003,60  
060372013021000,256  
060375763011012,232  
060374617001003,267  
060373009011011,268  
060371990021004,804 
060372047001000,252  
060374825223008,176  
060375545172000,128  
060375435012005,910  
060371041051006,233  
060373113003007,183  
060373110002012,222  
060377008013010,16  
060372215002001,206  
060372395013004,111  
060375332041006,110  
060372379001011,207  
060372352013000,111  
060374322023009,487  
060374616002013,267  
060375517003008,265  
060375031063003,120  
060375518012012,266  
060371034022007,90  
060373020031004,90  
060371252003006,155  
060371287031000,155  
060374623011009,258  
060373010002007,201  
060374819014008,258  
060372171023003,30  
060372691003009,14  
060372162021015,212  
060372075022016,910  
060373113003020,183  
060371439011007,167  
060374043013012,804 
060374043012016,804 
060375421062004,127  
060375433044011,205  
060376022013024,211  
060375513001001,115  
060376200021014,232  
060373105011025,165  
060371231031005,165  
060373116012021,501  
060378003353001,161  
060371397012012,150  
060371897021009,237  
060373025062011,183  
060374312001003,267  
060374046001024,804 
060373024013016,180  
060371831041012,176  
060371834022013,28  
060371924202003,207  
060374804002005,176  
060374804003004,78  
060374804003011,260  
060372132012003,28  
060372131001004,28  
060371329002002,164  
060371343042000,152  
060371218022002,230  
060371413061000,150  
060373016022006,96  
060372611031007,218  
060371832203008,83  
060377004003008,10  
060372653071007,234  
060374629003000,268  
060377006004005,2  
060372657011013,704  
060371873001009,603  
060374824042001,176  
060372092021014,18  
060375416031013,202  
060377006003007,2  
060375421061002,260  
060374816053003,76  
060372115003005,16  
060375508021006,111  
060375416052011,127  
060371091002004,239  
060371041242013,90  
060373203002005,224  
060371064063001,224  
060371310241017,165  
060371909013005,4  
060371974102022,603  
060374803043002,260  
060372168004008,105  
060374823032000,487  
060374817132000,770  
060374817131000,260  
060374819014011,258  
060371351132004,164  
060374606013004,90  
060373002001002,90  
060373004003010,90  
060371173023011,236  
060371219001005,224  
060371287042002,155  
060374304001005,487  
060375538023005,128  
060372033001012,910  
060371415001006,150  
060371041051012,233  
060371065103001,236  
060373104001014,92  
060371320023006,163  
060371283031007,233  
060371203002004,152  
060373018022005,92  
060371254022015,237  
060371837012002,81  
060371893001000,207  
060372655242012,704  
060374043012010,804 
060375339021012,111  
060375440022001,202  
060371393031001,150  
060374616004005,267  
